,formula_charge,formula_discharge,voltage
978,Li5Mn9(P2O7)8,Li14Mn9(P2O7)8,3.6915353767
536,MnFeCo(PO4)3,Li3MnFeCo(PO4)3,3.86339339
563,CrS2,Li(CrS2)2,2.4369296217
1194,Li3Ti3VO8,Li4Ti3VO8,1.5167880133
506,Mn3CoO8,Li2Mn3CoO8,3.9557610342
1044,Co2(PO3)5,LiCo2(PO3)5,4.8591394283
1140,VF4,LiVF4,4.1204932908
592,Li2FeNi3O8,Li3FeNi3O8,3.6462261767
204,LiCuP2O7,Li2CuP2O7,4.6237164367
899,MnFe(PO4)2,Li2MnFe(PO4)2,3.6464597992
340,K3YbV2O8,K3LiYbV2O8,3.6307219867
748,Li4V(CO3)4,Li5V(CO3)4,3.4009887408
993,LiTi2O4,LiTiO2,1.2926047083
10,AgRhF6,LiAg2Rh2F12,4.7584279167
828,Li7Ti12NbO30,Li9Ti12NbO30,1.8966489233
397,Li3TiMn3O8,Li4TiMn3O8,2.5488113067
1209,LiMn3(OF3)2,Li4Mn3(OF3)2,3.35999007
104,LiCoNiO4,Li2CoNiO4,3.3719095267
297,VFe(P2O7)2,LiVFe(P2O7)2,4.4197615267
106,LiCo3NiO8,Li2Co3NiO8,3.9517512167
198,EuVO4,LiEu2V2O8,3.5083159167
952,LiMn7O14,LiMn3O6,3.6282992008
1174,Ti(SiO3)2,LiTi(SiO3)2,1.5876752133
1058,MnFe3(PO4)4,Li7Mn2Fe6(PO4)8,3.5697032033
542,Mn3Co3(SnO8)2,Li4Mn3Co3(SnO8)2,4.0402281129
446,Li(NiO2)2,Li2NiO2,2.83525455
20,MnAsO4,LiMnAsO4,3.7674171517
1216,Mn5O9F,Li4Mn5O9F,3.3418349958
662,V9O22,LiV18O44,3.6669883867
546,Li(CoO2)3,LiCoO2,3.6376029767
610,Li3Ti2Mn3O10,Li4Ti2Mn3O10,2.9084094317
607,LiMn2(SO4)3,Li2Mn2(SO4)3,4.3795565217
123,CoPO4,LiCoPO4,4.3348561642
61,Na2MnPCO7,Na2LiMnPCO7,3.2047084642
105,Co3NiO8,LiCo3NiO8,4.2113598917
693,Mn5Cu(PO4)6,Li4Mn5Cu(PO4)6,3.7376997608
966,MnP2O7,LiMnP2O7,4.1898782708
182,Mn3CuO8,LiMn3CuO8,3.8555816167
1009,Li2V3O3F5,Li3V3O3F5,2.0268666633
1215,LiMn3OF8,Li4Mn3OF8,3.6738938867
709,V3CuO8,Li2V3CuO8,3.4817523883
836,LiNb7V12O48,Li9Nb7V12O48,3.0383188708
478,VPO5,LiVPO5,3.9270362767
343,Li2MgNi3O8,Li4MgNi3O8,3.8208829517
638,TiS2,Li(TiS2)3,1.9835981067
539,MnFeCo(PO4)3,Li3MnFeCo(PO4)3,3.9154341833
777,Li4Mn2Fe3Co3O16,Li10Mn2Fe3Co3O16,2.5314975233
1205,LiFe3(SiO4)2,Li2Fe3(SiO4)2,2.79324834
534,MnFeCo(PO4)3,Li3MnFeCo(PO4)3,3.8909691975
163,Eu2Cu(GeO3)4,LiEu2Cu(GeO3)4,2.6079031567
731,TiMn3Cr2(PO4)6,Li4TiMn3Cr2(PO4)6,3.0501927233
908,NbSe2,LiNbSe2,1.7751376933
1102,VF4,LiVF4,4.2532989933
997,Li8Mn7V(PO4)12,Li12Mn7V(PO4)12,4.0547192858
580,Li3VS2(O2F)4,Li4VS2(O2F)4,4.6935235067
685,LiTiVO4,Li2TiVO4,1.4394921467
621,LiMnP2O7,Li2MnP2O7,3.7084620992
427,Ta3MoS8,LiTa3MoS8,2.1397106667
1264,Li17(CoO4)4,Li19(CoO4)4,2.5608603583
361,Mn2P3O11,LiMn2P3O11,4.2408855167
468,Tb2WO6,LiTb4(WO6)2,1.9021552767
447,Li7FeO5F,Li8FeO5F,2.9872138267
230,V2OF7,LiV2OF7,4.4542603167
419,MoP2O7,LiMoP2O7,3.4581367767
766,CrCo3(PO4)4,Li4CrCo3(PO4)4,3.9391292508
885,Mn2CrO6,Li3Mn2CrO6,3.4193668117
747,LiV2(CO3)4,Li3V2(CO3)4,2.8871390583
845,Li3VAs2O9,Li4VAs2O9,3.6049732058
58,K2MoCl6,K2LiMoCl6,2.3491811967
92,MnFeCo(PO4)3,Li3MnFeCo(PO4)3,3.833381925
39,LiCoPCO7,Li2CoPCO7,4.1914214367
1084,Mn(SO4)2,LiMn(SO4)2,5.1080038533
477,VPO5,LiVPO5,3.8320489117
50,LiMnPCO7,Li2MnPCO7,4.0650742067
456,Ta4NiS8,LiTa4NiS8,2.1369070267
1104,LiVF4,Li2VF4,2.4020842833
351,Mn2VNi3(PO4)6,Li4Mn2VNi3(PO4)6,3.9747634042
288,LiMnFeO4,Li2MnFeO4,2.7088216167
1025,LiTiNiO4,Li2TiNiO4,3.6524646183
764,Co3Cu3(TeO8)2,Li4Co3Cu3(TeO8)2,4.1443034233
652,V5O12,LiV5O12,3.5801688967
492,Sn(PS3)2,LiSn(PS3)2,2.1142154367
1109,LiVF4,Li2VF4,2.3097557983
715,TiCrO4,Li2TiCrO4,2.5074955621
359,Mn(PO3)4,LiMn(PO3)4,5.1131882467
250,LiV4(OF3)4,LiVOF3,4.11649326
801,Mn3Co(PO4)6,Li6Mn3Co(PO4)6,4.4553734417
1139,VF5,LiVF5,4.6892773733
206,LiVFeP2(O4F)2,Li2VFeP2(O4F)2,3.7841793217
